incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
"Rust crates arrayref, internment, append-only-vec compromised with build-time credential stealer",CRITICAL,SUPPLY CHAIN · CREDENTIAL THEFT,package,host,arrayref 0.3.10 / internment 0.8.7 / append-only-vec 0.1.9 (crates.io),arrayref 0.3.10 / internment 0.8.7 / append-only-vec 0.1.9 (crates.io),Compromised releases with build-time credential-stealing implant,AUG 20,https://thehackernews.com/2026/08/rust-supply-chain-attack-puts-build.html
"Rust crates arrayref, internment, append-only-vec compromised with build-time credential stealer",CRITICAL,SUPPLY CHAIN · CREDENTIAL THEFT,package,host,proc-macro1 (typosquat of proc-macro2),proc-macro1 (typosquat of proc-macro2),Additional malicious crate from the same campaign,AUG 20,https://thehackernews.com/2026/08/rust-supply-chain-attack-puts-build.html
"Rust crates arrayref, internment, append-only-vec compromised with build-time credential stealer",CRITICAL,SUPPLY CHAIN · CREDENTIAL THEFT,ip,net,23[.]254[.]165[.]112,23.254.165.112,Payload host (port 9089) and C2 (port 443),AUG 20,https://thehackernews.com/2026/08/rust-supply-chain-attack-puts-build.html
"Rust crates arrayref, internment, append-only-vec compromised with build-time credential stealer",CRITICAL,SUPPLY CHAIN · CREDENTIAL THEFT,host-name,net,hwsrv-798836[.]hostwindsdns[.]com,hwsrv-798836.hostwindsdns.com,"C2 beacon domain, HTTPS POST to /49890878",AUG 20,https://thehackernews.com/2026/08/rust-supply-chain-attack-puts-build.html
"Rust crates arrayref, internment, append-only-vec compromised with build-time credential stealer",CRITICAL,SUPPLY CHAIN · CREDENTIAL THEFT,filename,host,/tmp/rust-setup ; %TEMP%\rust-setup.ps1 ; %TEMP%\rust-setup-launch.vbs,/tmp/rust-setup ; %TEMP%\rust-setup.ps1 ; %TEMP%\rust-setup-launch.vbs,Dropped implant/loader files by OS,AUG 20,https://thehackernews.com/2026/08/rust-supply-chain-attack-puts-build.html
"CVE-2026-33824 — Windows IKE Extension double-free RCE, actively exploited",CRITICAL,CVE · EXPLOITED · WORMABLE,cve,host,CVE-2026-33824,CVE-2026-33824,Windows IKE/AuthIP double-free — unauth RCE via crafted IKEv2 fragments,AUG 18,https://www.bleepingcomputer.com/news/security/cisa-critical-windows-ike-extension-flaw-now-exploited-in-attacks/
"CVE-2026-33824 — Windows IKE Extension double-free RCE, actively exploited",CRITICAL,CVE · EXPLOITED · WORMABLE,detection,net,Unexpected inbound UDP/500 or UDP/4500 traffic outside known IPsec peers,Unexpected inbound UDP/500 or UDP/4500 traffic outside known IPsec peers,Precursor/exploitation traffic pattern,AUG 19,https://www.bleepingcomputer.com/news/security/cisa-critical-windows-ike-extension-flaw-now-exploited-in-attacks/
"CVE-2026-33824 — Windows IKE Extension double-free RCE, actively exploited",CRITICAL,CVE · EXPLOITED · WORMABLE,patch,host,Microsoft April 2026 security update (KEV due date Aug 21),Microsoft April 2026 security update (KEV due date Aug 21),Fix for CVE-2026-33824,AUG 19,https://www.bleepingcomputer.com/news/security/cisa-critical-windows-ike-extension-flaw-now-exploited-in-attacks/
"CVE-2025-62593 — Ray framework DNS-rebinding RCE, now KEV-listed and tied to crypto-mining botnets",CRITICAL,CVE · EXPLOITED · KEV,cve,host,CVE-2025-62593,CVE-2025-62593,Ray framework unauthenticated job-endpoint RCE via DNS rebinding,AUG 18,https://thehackernews.com/2026/08/cisa-flags-actively-exploited-ray-flaw.html
"CVE-2025-62593 — Ray framework DNS-rebinding RCE, now KEV-listed and tied to crypto-mining botnets",CRITICAL,CVE · EXPLOITED · KEV,patch,host,Ray 2.52.0,Ray 2.52.0,Fixed version; FCEB deadline Aug 20,AUG 18,https://thehackernews.com/2026/08/cisa-flags-actively-exploited-ray-flaw.html
"CVE-2025-62593 — Ray framework DNS-rebinding RCE, now KEV-listed and tied to crypto-mining botnets",CRITICAL,CVE · EXPLOITED · KEV,detection,net,Unauthenticated request to /api/jobs or /api/job_agent/jobs/ from an unexpected browser origin,Unauthenticated request to /api/jobs or /api/job_agent/jobs/ from an unexpected browser origin,Core DNS-rebinding exploitation signature,AUG 18,https://thehackernews.com/2026/08/cisa-flags-actively-exploited-ray-flaw.html
"CVE-2025-62593 — Ray framework DNS-rebinding RCE, now KEV-listed and tied to crypto-mining botnets",CRITICAL,CVE · EXPLOITED · KEV,tool,host,RondoDox DDoS botnet / ShadowRay 2.0 crypto-mining campaign,RondoDox DDoS botnet / ShadowRay 2.0 crypto-mining campaign,Threat activity actively weaponizing this flaw,AUG 18,https://thehackernews.com/2026/08/cisa-flags-actively-exploited-ray-flaw.html
"Operation CameraSwarm — 14,500+ Dahua IP cameras compromised via credential attacks and P2P relay abuse",HIGH,IOT · CREDENTIAL + AUTH BYPASS,cve,host,CVE-2021-33044 / CVE-2021-33045,CVE-2021-33044 / CVE-2021-33045,"Dahua NetKeyboard and loopback-login authentication bypass, still KEV-listed",AUG 19,https://thehackernews.com/2026/08/hackers-compromised-14500-dahua-devices.html
"Operation CameraSwarm — 14,500+ Dahua IP cameras compromised via credential attacks and P2P relay abuse",HIGH,IOT · CREDENTIAL + AUTH BYPASS,cve,host,CVE-2025-31702,CVE-2025-31702,"Privilege escalation requiring existing credentials, used post-compromise",AUG 19,https://thehackernews.com/2026/08/hackers-compromised-14500-dahua-devices.html
"Operation CameraSwarm — 14,500+ Dahua IP cameras compromised via credential attacks and P2P relay abuse",HIGH,IOT · CREDENTIAL + AUTH BYPASS,tool,host,"p2pwn (public repo, accepts Dahua serials) / dh-p2p PoC","p2pwn (public repo, accepts Dahua serials) / dh-p2p PoC",Public tooling demonstrating the Easy4IPCloud P2P relay abuse path,AUG 19,https://thehackernews.com/2026/08/hackers-compromised-14500-dahua-devices.html
"Operation CameraSwarm — 14,500+ Dahua IP cameras compromised via credential attacks and P2P relay abuse",HIGH,IOT · CREDENTIAL + AUTH BYPASS,detection,host,Camera account creation or config change via Easy4IP P2P relay rather than direct admin session,Camera account creation or config change via Easy4IP P2P relay rather than direct admin session,Authentication-bypass exploitation signature,AUG 19,https://thehackernews.com/2026/08/hackers-compromised-14500-dahua-devices.html
