incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,sha256,hash,26351aed0397158d3a3b8cc8fd3047d4c015d264c9895f10f20f1521b974ed18,26351aed0397158d3a3b8cc8fd3047d4c015d264c9895f10f20f1521b974ed18,Socket.IO remote access trojan (final stage),JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,sha256,hash,36ff00b45e67baa7e3674b0c80f48e88737264c61e5c6b3b091200972de8157c,36ff00b45e67baa7e3674b0c80f48e88737264c61e5c6b3b091200972de8157c,Python credential stealer,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,ip,net,166[.]88[.]134[.]62,166.88.134.62,npm-vector C2 (ports 443/80) — HTTP-based Socket.IO,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,ip,net,23[.]27[.]13[.]43,23.27.13.43,Stage server — serves /$/boot,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,ip,net,198[.]105[.]127[.]210,198.105.127.210,Alternate distribution infrastructure,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,ip,net,23[.]27[.]202[.]27,23.27.202.27,Alternate distribution infrastructure,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,marker,net,A9-0135-3,A9-0135-3,Campaign tag — sent as Sec-V HTTP header / embedded global marker,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,wallet,host,TMfKQEd7TJJa5xNZJZ2Lep838vrzrs7mAP,TMfKQEd7TJJa5xNZJZ2Lep838vrzrs7mAP,"Tron dead-drop address for C2 resolution (also TXfxHUet9pJVU1BgVkBAbrES4YUc1nGzcG, TA48dct6rFW8BXsiLAtjFaVFoSuryMjD3v)",JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,package,host,@joyfill/components@4.0.0-rc24-2773.beta.4-6,@joyfill/components@4.0.0-rc24-2773.beta.4-6,Trojanized beta versions (also @joyfill/layouts@0.1.2-2773.beta.0-2),JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
Joyfill npm packages hijacked — import-time RAT with blockchain C2,CRITICAL,SUPPLY CHAIN · RAT,path,host,"/$/boot, /u/e, /u/f, /0x/js, /verify-human/, /snv","/$/boot, /u/e, /u/f, /0x/js, /verify-human/, /snv",C2 request paths,JUL 28,https://www.stepsecurity.io/blog/joyfill-npm-supply-chain-compromise https://thehackernews.com/2026/07/two-compromised-joyfill-npm-packages.html
CVE-2026-16232 — Check Point SmartConsole authentication bypass,CRITICAL,CVE · EXPLOITED 0-DAY,cve,host,CVE-2026-16232,CVE-2026-16232,SmartConsole auth bypass — Security Management Server & MDS,JUL 22,https://support.checkpoint.com/results/sk/sk185169 https://www.rapid7.com/blog/post/ra-check-point-smartconsole-authentication-bypass-technical-analysis-cve-2026-16232/
CVE-2026-16232 — Check Point SmartConsole authentication bypass,CRITICAL,CVE · EXPLOITED 0-DAY,patch,host,Jumbo Hotfix: R82.10 Take 36 / R82 Take 118,Jumbo Hotfix: R82.10 Take 36 / R82 Take 118,Fixed builds — apply on an emergency basis,JUL 22,https://support.checkpoint.com/results/sk/sk185169 https://www.rapid7.com/blog/post/ra-check-point-smartconsole-authentication-bypass-technical-analysis-cve-2026-16232/
CVE-2026-16232 — Check Point SmartConsole authentication bypass,CRITICAL,CVE · EXPLOITED 0-DAY,detection,host,Unauthenticated SIC DN read then replay,Unauthenticated SIC DN read then replay,"Bootstrap channel reads mgmt SIC distinguished name, replayed for admin",JUL 22,https://support.checkpoint.com/results/sk/sk185169 https://www.rapid7.com/blog/post/ra-check-point-smartconsole-authentication-bypass-technical-analysis-cve-2026-16232/
"CVE-2026-50522 — SharePoint deserialization RCE, machine-key theft",CRITICAL,CVE · EXPLOITED,cve,host,CVE-2026-50522,CVE-2026-50522,On-prem SharePoint 2016/2019/SE — unauth .NET deserialization RCE,JUL 22,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-50522 https://thehackernews.com/2026/07/critical-sharepoint-rce-cve-2026-50522.html
"CVE-2026-50522 — SharePoint deserialization RCE, machine-key theft",CRITICAL,CVE · EXPLOITED,path,host,/_trust/default.aspx,/_trust/default.aspx,Exploited endpoint — POST target for the forged token,JUL 22,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-50522 https://thehackernews.com/2026/07/critical-sharepoint-rce-cve-2026-50522.html
"CVE-2026-50522 — SharePoint deserialization RCE, machine-key theft",CRITICAL,CVE · EXPLOITED,detection,host,Forged SecurityContextToken w/ BinaryFormatter payload,Forged SecurityContextToken w/ BinaryFormatter payload,Malicious .NET payload in WS-Federation sign-in cookie,JUL 22,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-50522 https://thehackernews.com/2026/07/critical-sharepoint-rce-cve-2026-50522.html
"CVE-2026-50522 — SharePoint deserialization RCE, machine-key theft",CRITICAL,CVE · EXPLOITED,detection,host,Machine-key theft via single request,Machine-key theft via single request,Patch is insufficient — rotate ASP.NET machine keys,JUL 22,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-50522 https://thehackernews.com/2026/07/critical-sharepoint-rce-cve-2026-50522.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,tls-sha1,host,AB:42:24:A6:36:1E:6F:82:6F:DB:26:22:76:41:1E:03:F8:17:7E:30,AB:42:24:A6:36:1E:6F:82:6F:DB:26:22:76:41:1E:03:F8:17:7E:30,"Default panel TLS cert (CN alcs.xyttkx[.]cc, Let's Encrypt R13, valid 2026-04-07 to 07-06)",JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,c692ad120cc90548d48dbe57d006f2403c49833b8993af3c38fe031eb39999bd,c692ad120cc90548d48dbe57d006f2403c49833b8993af3c38fe031eb39999bd,autoclicker_pro.apk (builder-produced sample),JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,0376db397807c1f1e32a99a9db622f35f4fe5597bd05b4fd5e93117062e0131f,0376db397807c1f1e32a99a9db622f35f4fe5597bd05b4fd5e93117062e0131f,ApkBuilder.php (server-side APK builder),JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,4395db6ad53a415532673b16f5b64207d53cecc5b15a736c038cf3890368a164,4395db6ad53a415532673b16f5b64207d53cecc5b15a736c038cf3890368a164,net.extractor.terminator.channel.apk,JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,5dee5cde6f2874c582effe302960b21569ee007e9e0cd4f7499d418cceb9095b,5dee5cde6f2874c582effe302960b21569ee007e9e0cd4f7499d418cceb9095b,com.sequencer.classifier.processor.apk,JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,d8a82d7b4457352774772bfac094127d7f67526ae7011d838cc3f7ccc15fd86e,d8a82d7b4457352774772bfac094127d7f67526ae7011d838cc3f7ccc15fd86e,net.listener.transactor.authorizer.apk,JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,82520e6aa6194b2de0b1c404805a5da7d3693acab8f7ae2dd5104f14baf82cd7,82520e6aa6194b2de0b1c404805a5da7d3693acab8f7ae2dd5104f14baf82cd7,BTMOB v4.5.5.zip (related builder archive),JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,sha256,hash,7fe8d14e7a9cda92c79d5ae836ed95d772bcc853079c4020c5213c3894c7f7af,7fe8d14e7a9cda92c79d5ae836ed95d772bcc853079c4020c5213c3894c7f7af,BTMOB.exe (Windows component),JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,domain,net,110gongan[.]com,110gongan.com,Flying Eagle C2,JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
Flying Eagle Android RAT — leaked builder spawns 170 live servers,HIGH,MOBILE · ANDROID RAT,domain,net,alcs[.]xyttkx[.]cc,alcs.xyttkx.cc,Flying Eagle C2 (matches default cert CN),JUL 28,https://hunt.io/blog/flying-eagle-android-rat-170-servers-night-dragon https://thehackernews.com/2026/07/flying-eagle-android-rat-traces-found.html
