incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
CVE-2026-18431 — Avada theme's 6-step exploit chain lets unauthenticated attackers run PHP on 1M+ WordPress sites,CRITICAL,CVE · WORDPRESS · ZERO-CLICK RCE,cve,host,CVE-2026-18431,CVE-2026-18431,Avada theme/Fusion Builder 6-step chain — unauth zero-click PHP code execution,AUG 27,https://www.bleepingcomputer.com/news/security/critical-avada-wordpress-theme-flaw-enables-zero-click-rce/
CVE-2026-18431 — Avada theme's 6-step exploit chain lets unauthenticated attackers run PHP on 1M+ WordPress sites,CRITICAL,CVE · WORDPRESS · ZERO-CLICK RCE,patch,host,Avada 7.16.1 / Fusion Builder 3.16.1 (released Aug 27 2026),Avada 7.16.1 / Fusion Builder 3.16.1 (released Aug 27 2026),Fixed releases for versions through Avada 7.16 / Fusion Builder 3.16,AUG 27,https://www.bleepingcomputer.com/news/security/critical-avada-wordpress-theme-flaw-enables-zero-click-rce/
ServiceNow patches three CVSS 10.0 flaws in the Now/AI Platform enabling unauthenticated RCE and SQL injection,CRITICAL,CVE · SAAS · UNAUTH RCE + SQLI,cve,host,CVE-2026-18885 / CVE-2026-18886 / CVE-2026-74820 / CVE-2026-6876,CVE-2026-18885 / CVE-2026-18886 / CVE-2026-74820 / CVE-2026-6876,"ServiceNow AI Platform/Now Platform unauth code injection, access-control bypass, SQLi, sandbox escape",AUG 27,https://thehackernews.com/2026/08/three-cvss-100-servicenow-flaws-could.html https://www.bleepingcomputer.com/news/security/servicenow-warns-of-three-max-severity-security-vulnerabilities/
ServiceNow patches three CVSS 10.0 flaws in the Now/AI Platform enabling unauthenticated RCE and SQL injection,CRITICAL,CVE · SAAS · UNAUTH RCE + SQLI,patch,host,KB3152242 — Xanadu Patch 11 HF 7a / Yokohama Patch 12 HF 3b / Zurich Patch 7b HF 3,KB3152242 — Xanadu Patch 11 HF 7a / Yokohama Patch 12 HF 3b / Zurich Patch 7b HF 3,Fixed releases for self-hosted customers,AUG 27,https://thehackernews.com/2026/08/three-cvss-100-servicenow-flaws-could.html https://www.bleepingcomputer.com/news/security/servicenow-warns-of-three-max-severity-security-vulnerabilities/
ServiceNow patches three CVSS 10.0 flaws in the Now/AI Platform enabling unauthenticated RCE and SQL injection,CRITICAL,CVE · SAAS · UNAUTH RCE + SQLI,detection,net,Unauthenticated requests to GraphQL Composite Data API or system-configuration image-upload processor,Unauthenticated requests to GraphQL Composite Data API or system-configuration image-upload processor,Exploitation pattern for CVE-2026-18885/18886,AUG 27,https://thehackernews.com/2026/08/three-cvss-100-servicenow-flaws-could.html https://www.bleepingcomputer.com/news/security/servicenow-warns-of-three-max-severity-security-vulnerabilities/
CVE-2026-8452 — Citrix NetScaler pre-auth RCE exploited in the wild to drop web shells,CRITICAL,CVE · EXPLOITED · KEV · WEB SHELL,cve,host,CVE-2026-8452,CVE-2026-8452,NetScaler ADC/Gateway SAML SSO pre-auth heap overflow RCE,AUG 26,https://www.helpnetsecurity.com/2026/08/27/netscaler-adc-gateway-cve-2026-8452/ https://www.securityweek.com/recent-citrix-netscaler-vulnerability-exploited-in-the-wild/
CVE-2026-8452 — Citrix NetScaler pre-auth RCE exploited in the wild to drop web shells,CRITICAL,CVE · EXPLOITED · KEV · WEB SHELL,patch,host,NetScaler 14.1-72.61 / 13.1-63.18 / 13.1-37.272,NetScaler 14.1-72.61 / 13.1-63.18 / 13.1-37.272,"Fixed releases, patched Jun 30 2026 same-day as disclosure",AUG 26,https://www.helpnetsecurity.com/2026/08/27/netscaler-adc-gateway-cve-2026-8452/ https://www.securityweek.com/recent-citrix-netscaler-vulnerability-exploited-in-the-wild/
CVE-2026-8452 — Citrix NetScaler pre-auth RCE exploited in the wild to drop web shells,CRITICAL,CVE · EXPLOITED · KEV · WEB SHELL,filename,host,x.php ; z.php,x.php ; z.php,Web shell filenames dropped post-exploitation,AUG 26,https://www.helpnetsecurity.com/2026/08/27/netscaler-adc-gateway-cve-2026-8452/ https://www.securityweek.com/recent-citrix-netscaler-vulnerability-exploited-in-the-wild/
CVE-2026-21962 — Oracle HTTP Server/WebLogic Proxy flaw fuels 7-month China-linked campaign across 100+ countries,CRITICAL,CVE · EXPLOITED · KEV · NATION-STATE,cve,host,CVE-2026-21962,CVE-2026-21962,"Oracle HTTP Server/WebLogic Proxy Plug-in unauth access bypass, CVSS 10.0",AUG 24,https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/ https://thehackernews.com/2026/08/actively-exploited-oracle-weblogic-flaw.html
CVE-2026-21962 — Oracle HTTP Server/WebLogic Proxy flaw fuels 7-month China-linked campaign across 100+ countries,CRITICAL,CVE · EXPLOITED · KEV · NATION-STATE,patch,host,Oracle January 2026 Critical Patch Update,Oracle January 2026 Critical Patch Update,Fix released 7 months before public confirmation of active exploitation,AUG 24,https://www.securityweek.com/cisa-warns-of-exploited-oracle-weblogic-vulnerability/ https://thehackernews.com/2026/08/actively-exploited-oracle-weblogic-flaw.html
