incident,severity,kind,type,category,indicator_defanged,indicator_clean,context,seen,sources
Metabase SQL-injection 0-day (GHSA-vwf4-m7j8-wcjf) — unauth admin takeover,CRITICAL,CVE · EXPLOITED 0-DAY,cve,host,GHSA-vwf4-m7j8-wcjf,GHSA-vwf4-m7j8-wcjf,Metabase unauth SQL-injection → admin (no CVE assigned),AUG 8,https://thehackernews.com/2026/08/metabase-zero-day-exploited-in-wild.html https://github.com/metabase/metabase/security/advisories/GHSA-vwf4-m7j8-wcjf
Metabase SQL-injection 0-day (GHSA-vwf4-m7j8-wcjf) — unauth admin takeover,CRITICAL,CVE · EXPLOITED 0-DAY,detection,net,POST /api/session/reset_password (400) then GET /api/user/current (200),POST /api/session/reset_password (400) then GET /api/user/current (200),Reset-password injection signature in web logs,AUG 8,https://thehackernews.com/2026/08/metabase-zero-day-exploited-in-wild.html https://github.com/metabase/metabase/security/advisories/GHSA-vwf4-m7j8-wcjf
Metabase SQL-injection 0-day (GHSA-vwf4-m7j8-wcjf) — unauth admin takeover,CRITICAL,CVE · EXPLOITED 0-DAY,path,net,/api/session/reset_password,/api/session/reset_password,Exploited endpoint — block as temporary mitigation,AUG 8,https://thehackernews.com/2026/08/metabase-zero-day-exploited-in-wild.html https://github.com/metabase/metabase/security/advisories/GHSA-vwf4-m7j8-wcjf
Metabase SQL-injection 0-day (GHSA-vwf4-m7j8-wcjf) — unauth admin takeover,CRITICAL,CVE · EXPLOITED 0-DAY,patch,host,Metabase 1.58.24 / 1.59.21 / 1.60.17 / 1.61.11 / 1.62.9 / 1.63.5,Metabase 1.58.24 / 1.59.21 / 1.60.17 / 1.61.11 / 1.62.9 / 1.63.5,Fixed builds per release train,AUG 8,https://thehackernews.com/2026/08/metabase-zero-day-exploited-in-wild.html https://github.com/metabase/metabase/security/advisories/GHSA-vwf4-m7j8-wcjf
CVE-2026-63077 — JetBrains TeamCity unauthenticated deserialization RCE,CRITICAL,CVE · EXPLOITED · KEV,cve,host,CVE-2026-63077,CVE-2026-63077,On-prem TeamCity — unauth deserialization RCE via agent polling protocol,AUG 6,https://thehackernews.com/2026/08/cisa-flags-teamcity-cve-2026-63077-rce.html https://www.cisa.gov/known-exploited-vulnerabilities-catalog
CVE-2026-63077 — JetBrains TeamCity unauthenticated deserialization RCE,CRITICAL,CVE · EXPLOITED · KEV,detection,host,XStream deserialization via agent polling protocol,XStream deserialization via agent polling protocol,Default permissions retained ahead of TeamCity allowlist,AUG 6,https://thehackernews.com/2026/08/cisa-flags-teamcity-cve-2026-63077-rce.html https://www.cisa.gov/known-exploited-vulnerabilities-catalog
CVE-2026-63077 — JetBrains TeamCity unauthenticated deserialization RCE,CRITICAL,CVE · EXPLOITED · KEV,filename,host,.JSPWS files under TeamCity web/work dirs,.JSPWS files under TeamCity web/work dirs,Public-PoC artifact used to execute commands,AUG 6,https://thehackernews.com/2026/08/cisa-flags-teamcity-cve-2026-63077-rce.html https://www.cisa.gov/known-exploited-vulnerabilities-catalog
"CVE-2026-68820 — Windows afd.sys use-after-free, SYSTEM privilege escalation",HIGH,CVE · EXPLOITED 0-DAY,cve,host,CVE-2026-68820,CVE-2026-68820,afd.sys use-after-free — local elevation to SYSTEM (exploited),AUG 11,https://www.securityweek.com/august-2026-patch-tuesday-microsoft-fixes-421-cves-one-exploited-zero-day/ https://www.tenable.com/blog/microsofts-august-2026-patch-tuesday-addresses-398-cves-cve-2026-68820
"CVE-2026-68820 — Windows afd.sys use-after-free, SYSTEM privilege escalation",HIGH,CVE · EXPLOITED 0-DAY,cve,host,CVE-2026-62832,CVE-2026-62832,"User Profile Service link-following EoP — publicly disclosed, same batch",AUG 11,https://www.securityweek.com/august-2026-patch-tuesday-microsoft-fixes-421-cves-one-exploited-zero-day/ https://www.tenable.com/blog/microsofts-august-2026-patch-tuesday-addresses-398-cves-cve-2026-68820
"CVE-2026-68820 — Windows afd.sys use-after-free, SYSTEM privilege escalation",HIGH,CVE · EXPLOITED 0-DAY,detection,host,RCE fixes CVE-2026-62878 / -62893 / -62815 / -59124,RCE fixes CVE-2026-62878 / -62893 / -62815 / -59124,Critical DNS / TFTP / QUIC / HPC Pack RCEs patched same day — prioritize on exposed roles,AUG 11,https://www.securityweek.com/august-2026-patch-tuesday-microsoft-fixes-421-cves-one-exploited-zero-day/ https://www.tenable.com/blog/microsofts-august-2026-patch-tuesday-addresses-398-cves-cve-2026-68820
